,Mg,Ni,Al,Fe,Ca,Cr,P,S,Ti,Si,mineral
0,0.0,0.0,,0.0,36.745602024504514,,,0.0,35.63073808438115,0.0,Ca_Ti_O_3
1,0.0,0.0,,0.0,31.803211108927883,,,0.0,35.86361872545554,0.09790594686612844,Ca_Ti_O_3
2,0.0,0.6575917422822773,,0.0,30.299005178100213,,,0.0,35.32023056294864,0.19581189373225688,Ca_Ti_O_3
3,0.11859861900785645,0.6575917422822773,,0.0,26.21616050871082,,,0.0,38.96869393978069,0.0,Ca_Ti_O_3
4,0.0,0.0,,0.0,29.654345493459783,,,0.0,35.475484323664894,0.09790594686612844,Ca_Ti_O_3
5,0.0,0.0,,0.0,31.158551424287452,,,0.0,39.279201461213205,0.0,Ca_Ti_O_3
6,0.0,0.0,,0.0,28.794799247272543,,,0.0,36.40700688796244,0.0,Ca_Ti_O_3
7,0.0,0.0,,0.0,29.86923205500659,,,0.0,36.018872486171794,0.09790594686612844,Ca_Ti_O_3
8,0.0,0.0,,0.960242340881627,31.158551424287452,,,0.0,37.88191761476689,0.0,Ca_Ti_O_3
9,0.0,1.3151834845645547,,0.0,33.737190162849174,,,0.0,33.069051032562896,0.0,Ca_Ti_O_3
10,0.0,0.0,,0.0,30.943664862740643,,,0.0,36.872768170111215,0.0,Ca_Ti_O_3
11,0.11859861900785645,0.0,,0.0,28.150139562632113,,,0.0,36.63988752903683,0.09790594686612844,Ca_Ti_O_3
12,0.0,0.0,,0.0,29.009685808819352,,,0.0,33.92294671650232,0.0,Ca_Ti_O_3
13,0.11859861900785645,0.6575917422822773,,0.0,27.72036643953849,,,0.0,35.86361872545554,0.0,Ca_Ti_O_3
14,0.0,0.0,,0.0,28.36502612417892,,,0.0,37.49378321297625,0.0,Ca_Ti_O_3
15,0.0,0.0,,0.0,25.57150082407039,,,0.0,35.94124560581367,0.0,Ca_Ti_O_3
16,0.11859861900785645,0.0,,0.6401615605877513,27.72036643953849,,,0.0,33.69006607542793,0.0,Ca_Ti_O_3
17,0.0,0.6575917422822773,,0.0,30.299005178100213,,,0.0,36.096499366529926,0.19581189373225688,Ca_Ti_O_3
18,0.0,0.0,,0.6401615605877513,35.026509532130035,,,0.0,36.096499366529926,0.0,Ca_Ti_O_3
19,0.0,0.0,,0.0,28.57991268572573,,,0.0,33.14667791292103,0.09790594686612844,Ca_Ti_O_3
20,0.0,0.0,,0.6401615605877513,32.018097670474695,,,0.0,36.329380007604314,0.0,Ca_Ti_O_3
21,0.0,0.0,,0.6401615605877513,31.588324547381074,,,0.0,32.68091663077225,0.19581189373225688,Ca_Ti_O_3
22,0.11859861900785645,0.0,,0.0,29.439458931912974,,,0.0,37.80429073440876,0.0,Ca_Ti_O_3
23,0.0,0.986387613423416,,0.0,27.72036643953849,,,0.0,34.85446928079986,0.09790594686612844,Ca_Ti_O_3
24,0.0,0.0,,0.0,29.86923205500659,,,0.0,33.379558553995416,0.19581189373225688,Ca_Ti_O_3
25,0.11859861900785645,0.0,,0.0,28.36502612417892,,,0.0,37.6490369736925,0.0,Ca_Ti_O_3
26,0.0,0.0,,0.0,27.290593316444873,,,0.0,36.872768170111215,0.0,Ca_Ti_O_3
27,0.0,0.0,,0.0,30.084118616553404,,,0.0,33.379558553995416,0.0,Ca_Ti_O_3
28,0.0,0.0,,0.0,22.56308896241505,,,0.0,37.49378321297625,0.19581189373225688,Ca_Ti_O_3
29,0.11859861900785645,0.6575917422822773,,0.0,27.290593316444873,,,0.0,36.63988752903683,0.0,Ca_Ti_O_3
30,0.0,0.0,,0.0,31.803211108927883,,,0.0,36.40700688796244,0.09790594686612844,Ca_Ti_O_3
31,0.0,0.986387613423416,,0.0,28.150139562632113,,,0.0,35.39785744330676,0.0,Ca_Ti_O_3
32,0.0,0.0,,0.0,27.290593316444873,,,0.0,35.63073808438115,0.0,Ca_Ti_O_3
33,0.2371972380157129,0.0,,0.0,29.22457237036616,,,0.0,33.53481231471167,0.09790594686612844,Ca_Ti_O_3
34,0.0,0.0,,0.6401615605877513,28.36502612417892,,,0.0,35.63073808438115,0.19581189373225688,Ca_Ti_O_3
35,0.2371972380157129,0.0,,0.0,29.86923205500659,,,0.0,35.242603682590506,0.0,Ca_Ti_O_3
36,0.0,0.0,,0.6401615605877513,28.794799247272543,,,0.0,34.699215520083605,0.29371784059838535,Ca_Ti_O_3
37,0.0,0.0,,0.0,29.22457237036616,,,0.0,32.68091663077225,0.09790594686612844,Ca_Ti_O_3
38,0.0,0.6575917422822773,,0.0,27.935253001085304,,,0.0,36.329380007604314,0.09790594686612844,Ca_Ti_O_3
39,0.0,0.0,,0.0,29.22457237036616,,,0.0,36.562260648678695,0.09790594686612844,Ca_Ti_O_3
40,0.0,0.986387613423416,,0.0,26.645933631804443,,,0.0,36.562260648678695,0.19581189373225688,Ca_Ti_O_3
41,0.11859861900785645,0.0,,0.0,26.860820193351252,,,0.0,38.813440179064436,0.0,Ca_Ti_O_3
42,0.0,0.0,,0.0,33.52230360130236,,,0.0,34.31108111829296,0.19581189373225688,Ca_Ti_O_3
43,0.0,0.0,,0.0,24.282181454789534,,,0.0,36.096499366529926,0.39162378746451376,Ca_Ti_O_3
44,0.0,0.0,,0.6401615605877513,27.290593316444873,,,0.0,34.388707998651086,0.0,Ca_Ti_O_3
45,0.0,0.0,,0.0,31.588324547381074,,,0.0,35.08734992187425,0.0,Ca_Ti_O_3
46,0.0,0.0,,0.0,29.22457237036616,,,0.0,38.42530577727379,0.09790594686612844,Ca_Ti_O_3
