Unknown,363889
Orthopyroxenes,267724
Olivine,147092
Clinopyroxenes,48738
Troilite,24335
Magnetite,10594
Albite,9516
MSS,7961
Kamacite,5361
Diopside,1878
Taenite,873
Anorthite,46
Pentlandite,17
Schreibersite,0
Millerite,0
