Orthopyroxenes,119030
Olivine,63055
Unknown,22661
Clinopyroxenes,18316
Albite,4725
Diopside,2443
Magnetite,1905
Troilite,1539
Kamacite,805
MSS,571
Taenite,166
Anorthite,8
Pentlandite,1
Schreibersite,0
Millerite,0
